AAB	ABELAG AVIATION	ABELAG
BHC	AEROTAXIS DE LA BAHIA, S.A. DE C.V.	BAHIA
BHD	BANGKOK HELICOPTER SERVICES CO.,LTD	BANGKOK DUSIT
BHI	BALKH AIRLINES	SHARIF
BHK	BLU HALKIN LTD	BLUHALKIN
BHL	BRISTOW HELICOPTERS GROUP LTD.	BRISTOW
BHN	BRISTOW HELICOPTERS (NIG) LIMITED	BRISTOW HELICOPTERS
BHO	BHOJA AIRLINES	BHOJA
BHP	BELAIR AIRLINES AG	BELAIR
BHR	BIGHORN AIRWAYS, INC. (SHERIDAN, WY)	BIGHORN AIR
BHS	BAHAMAS AIR HOLDINGS LTD.	BAHAMAS
BHY	BOSPHORUS AVRUPA HAVA YOLLARI A.S. (BOSPHORUS EUROPEAN AIRWAYS)	BOSPHORUS
BHZ	BHS AVIATION AG	ALPINE STAR
BIA	BOHLKE INTERNATIONAL AIRWAYS	BOHLKE
BIC	ALPHALAND AVIATION, INC.	BALESIN
BID	BINAIR GMBH, MUENCHEN	BINAIR
BIE	AIR MEDITERRANEE	MEDITERRANEE
BIG	BIG ISLAND AIR, INC. (KAILUA - KONA, HI)	BIG ISLE
BIH	BRITISH INTERNATIONAL	BRINTEL
BIK	AVIO BRAVO	RED RAY
BIL	BILLUND AIR CENTER A/S	BILAIR
BIN	BOISE INTERAGENCY FIRE CENTER (BOISE, ID)	BISON-AIR
BIO	BIOFLIGHT A/S	BIOFLIGHT
BIR	BIRD LEASING, INC. (NORTH ANDOVER, MA)	BIRD AIR
BIS	SKY BISHKEK	JUMA AIR
BIT	NORTHEAST AVIATION, INC. (LANSING, IL)	RUN BITTY
BIV	AVIASERVICE	AVIASERVICE
BIX	BRAATHENS INTERNATIONAL AIRWAYS AB	SUN TRIP
BIZ	BIZJET DE MEXICO, S.A. DE C.V.	BIZMEX
BJA	BAJA AIR, S.A. DE C.V.	BAJA AIR
BJC	BALTIC JET AIRCOMPANY	BALTIC JET
BJF	BAJA FLY S. DE R.L. DE C.V.	BAXA
BJK	ATLANTIC AIRLINES (ORLANDO, FL)	BLACKJACK
BJN	BEIJING AIRLINES CO., LTD	AIR JINGHUA
BJS	BUSINESS JET SOLUTIONS (DALLAS, TX)	SOLUTION
BJT	ACM AVIATION, INC. (SAN JOSE, CA)	BAY JET
BJU	AEROJET AIRLINES	JET EXPRESS
BJV	BEIJING VISTAJET AVIATION CO., LTD	BEIJING VISTA
BJX	BLUE JET AIRWAYS LIMITED	BLUE FLIGHT
BKA	BANKAIR, INC. (WEST COLUMBIA, SC)	BANKAIR
BKB	STATE OF WEST VIRGINIA, AVIATION DIVISION (CHARLESTON, WV)	BLACK BEAR
BKE	AIRBROCK MANAGEMENT & CHARTER SERVICES, INC.	AIR BROCK
BKF	BF-LENTO OY	BAKERFLIGHT
BKH	BARKSTON HEATH FTU (MIL)	BARKSTON
BKJ	BARKEN INTERNATIONAL, INC. (SALT LAKE CITY, UT)	BARKEN JET
BKK	BLINK LTD	BLINKAIR
BKL	AIRCOMPANY BARCOL	BARCOL
BKM	ADVISORS AVIATION (ST.LOUIS,MO)	CARDINAL
BKN	SAINT LOUIS UNIVERSITY	BILLIKEN
BKO	BRIKO AIR SERVICE LTD	BRIKO
BKP	BANGKOK AIRWAYS	BANGKOK AIR
BKR	CIVIL AIR PATROL, SOUTH CAROLINA WING (COLUMBIA, SC)	BOX KAR
BKS	ATLANTIC COAST AIRCRAFT SERVICES (READING, PA)	BERKS
BKT	TAB CHARTERS (PTY) LTD	BLACKTAIL
BKV	BUKOVYNA	BUKOVYNA
BKY	BLUESKY AIRWAYS	BLUE AIRWAYS
BLA	BLUE AIR AVIATION S.A.	BLUE AIR
BLB	BLUE BIRD AVIATION CO. LTD	BLUEBIRD SUDAN
BLC	BELLESAVIA	BELLESAVIA
